DistrictCode,SchoolCode,DistrictName,SchoolName,Y1617,Y1718
65961,0,Alisal Union,District Office,8.9,8.5
65961,127456,Alisal Union,Monte Bella Elementary,8.5,7.7
65961,6025977,Alisal Union,Alisal Community,8.2,4.9
65961,6025985,Alisal Union,Bardin Elementary,9.0,7.5
65961,6025993,Alisal Union,Fremont Elementary,5.7,7.8
65961,6026009,Alisal Union,Jesse G. Sanchez Elementary,6.4,7.8
65961,6101802,Alisal Union,Frank Paul Elementary,8.6,6.3
65961,6106959,Alisal Union,Virginia Rocca Barton Elementary,12.1,9.7
65961,6109466,Alisal Union,John E. Steinbeck Elementary,13.1,12.7
65961,6113542,Alisal Union,Cesar E. Chavez Elementary,7.1,10.8
65961,6115232,Alisal Union,Creekside Elementary,15.4,14.8
65961,6117691,Alisal Union,Oscar F. Loya Elementary,8.2,9.6
65961,6119663,Alisal Union,Oasis Charter Public,6.6,0.4
65961,6120273,Alisal Union,"Dr. Martin Luther King, Jr. Academy",8.7,7.3
75150,0,Big Sur Unified,District Office,9.1,3.1
75150,118349,Big Sur Unified,Big Sur Charter,0.8,3.4
75150,2730133,Big Sur Unified,Pacific Valley (K-12),80.0,0.0
65979,0,Bradley Union Elementary,District Office,11.5,0.3
65979,135111,Bradley Union Elementary,Uplift Monterey,11.2,0.0
65979,6026017,Bradley Union Elementary,Bradley Elementary,12.7,7.5
65979,136010,Bradley Union Elementary,Uplift California South Charter,NA,0.0
65979,136218,Bradley Union Elementary,Uplift California North Charter,NA,0.0
65987,0,Carmel Unified,District Office,10.3,11.1
65987,118687,Carmel Unified,Carmel Child Development Center,29.4,43.8
65987,2730018,Carmel Unified,Carmel Valley High,60.7,78.9
65987,2730414,Carmel Unified,Carmel High,9.2,13.6
65987,6026025,Carmel Unified,Captain Cooper Elementary,43.1,6.6
65987,6026033,Carmel Unified,Carmel Middle,9.0,8.0
65987,6026041,Carmel Unified,Carmel River Elementary,6.4,7.1
65987,6026074,Carmel Unified,Tularcitos Elementary,9.6,11.0
65995,0,Chualar Union,District Office,11.1,7.2
65995,6026082,Chualar Union,Chualar Elementary,11.1,7.2
75473,0,Gonzales Unified,District Office,8.9,11.6
75473,2730067,Gonzales Unified,Somavia High,64.6,58.2
75473,2730885,Gonzales Unified,Gonzales High,6.7,10.5
75473,6026090,Gonzales Unified,Fairview Middle,8.4,11.5
75473,6066955,Gonzales Unified,La Gloria Elementary,9.1,11.1
66027,0,Graves Elementary,District Office,4.3,9.8
66027,6026108,Graves Elementary,Graves Elementary,4.3,9.8
66035,0,Greenfield Union Elementary,District Office,10.1,9.7
66035,0,Greenfield Union Elementary,District Office,10.1,0.0
66035,6026116,Greenfield Union Elementary,Mary Chapa Academy,6.6,7.9
66035,6089387,Greenfield Union Elementary,Oak Avenue Elementary,13.7,16.0
66035,6111637,Greenfield Union Elementary,Cesar Chavez Elementary,10.0,12.0
66035,6111645,Greenfield Union Elementary,Vista Verde Middle,10.8,5.5
66050,0,King City Union,District Office,10.4,11.7
66050,107292,King City Union,King City Arts Magnet,18.0,12.8
66050,131326,King City Union,Phoenix Academy Community Day,53.8,60.0
66050,6026124,King City Union,Chalone Peaks Middle,9.7,11.5
66050,6026132,King City Union,Santa Lucia Elementary,5.8,10.6
66050,6106777,King City Union,Del Rey Elementary,10.8,11.8
66050,1,King City Union,"Nonpublic, Nonsectarian Schools",NA,*
66076,0,Lagunita Elementary,District Office,2.0,2.0
66076,6026140,Lagunita Elementary,Lagunita Elementary,2.0,2.0
66084,0,Mission Union Elementary,District Office,3.1,9.2
66084,6026157,Mission Union Elementary,Mission Elementary,3.1,9.2
10272,0,Monterey County Office of Education,District Office,19.0,20.7
10272,112177,Monterey County Office of Education,Monterey Bay Charter,6.6,5.7
10272,124297,Monterey County Office of Education,Bay View Academy,6.9,6.2
10272,2730117,Monterey County Office of Education,"Wellington M. Smith, Jr.",0.3,0.7
10272,2730232,Monterey County Office of Education,Monterey County Home Charter,5.4,4.2
10272,2730265,Monterey County Office of Education,Salinas Community,39.6,61.7
10272,6069512,Monterey County Office of Education,Monterey County Special Education,49.7,57.2
10272,125765,Monterey County Office of Education,Millennium Charter High,NA,21.9
66092,0,Monterey Peninsula Unified,District Office,12.5,13.1
66092,1,Monterey Peninsula Unified,"Nonpublic, Nonsectarian Schools",*,*
66092,111435,Monterey Peninsula Unified,Marina High,19.9,23.1
66092,112896,Monterey Peninsula Unified,Monterey Peninsula Unified School District Community Day,33.3,57.1
66092,115642,Monterey Peninsula Unified,Monterey Peninsula Unified School District Community Day Middle,36.4,50.0
66092,124602,Monterey Peninsula Unified,Monte Vista,14.4,12.7
66092,129239,Monterey Peninsula Unified,Dual Language Academy of the Monterey Peninsula,5.9,8.0
66092,2730240,Monterey Peninsula Unified,Learning for Life Charter,38.0,53.8
66092,2732253,Monterey Peninsula Unified,Central Coast High,56.7,56.2
66092,2732808,Monterey Peninsula Unified,Monterey High,11.6,11.8
66092,2735348,Monterey Peninsula Unified,Seaside High,15.0,14.6
66092,6026181,Monterey Peninsula Unified,Del Rey Woods Elementary,7.7,9.1
66092,6026199,Monterey Peninsula Unified,Foothill Elementary,13.0,13.8
66092,6026207,Monterey Peninsula Unified,George C. Marshall Elementary,5.7,6.9
66092,6026223,Monterey Peninsula Unified,Highland Elementary,12.6,14.8
66092,6026249,Monterey Peninsula Unified,Ione Olson Elementary,18.6,17.4
66092,6026256,Monterey Peninsula Unified,J. C. Crumpton Elementary,14.3,12.7
66092,6026280,Monterey Peninsula Unified,La Mesa Elementary,6.9,6.6
66092,6026314,Monterey Peninsula Unified,Marina Vista Elementary,16.0,17.1
66092,6026355,Monterey Peninsula Unified,Ord Terrace Elementary,5.1,6.5
66092,6058713,Monterey Peninsula Unified,Los Arboles Middle,15.8,16.5
66092,6058721,Monterey Peninsula Unified,Martin Luther King,11.1,12.1
66092,6058739,Monterey Peninsula Unified,Seaside Middle,7.6,9.1
66092,6058747,Monterey Peninsula Unified,Walter Colton,14.9,13.6
66092,6118962,Monterey Peninsula Unified,International School of Monterey,4.0,4.7
73825,0,North Monterey County Unified,District Office,17.9,12.6
73825,2730034,North Monterey County Unified,North Monterey County High,19.3,7.6
73825,2730125,North Monterey County Unified,North Monterey County Center for Independent Study,57.9,49.8
73825,2730141,North Monterey County Unified,Central Bay High (Continuation),62.1,70.0
73825,6026397,North Monterey County Unified,Castroville Elementary,10.4,11.5
73825,6026405,North Monterey County Unified,Echo Valley Elementary,17.9,10.9
73825,6026413,North Monterey County Unified,Elkhorn Elementary,14.4,11.9
73825,6026421,North Monterey County Unified,North Monterey County Middle,12.5,14.3
73825,6026447,North Monterey County Unified,Prunedale Elementary,14.4,7.8
66134,0,Pacific Grove Unified,District Office,7.4,7.5
66134,2731115,Pacific Grove Unified,Community High (Continuation),50.0,75.0
66134,2733657,Pacific Grove Unified,Pacific Grove High,4.0,4.3
66134,6026470,Pacific Grove Unified,Forest Grove Elementary,7.1,7.5
66134,6026496,Pacific Grove Unified,Robert Down Elementary,9.1,8.1
66134,6058754,Pacific Grove Unified,Pacific Grove Middle,7.0,7.5
66142,0,Salinas City Elementary,District Office,9.9,9.8
66142,1,Salinas City Elementary,"Nonpublic, Nonsectarian Schools",*,NA
66142,108068,Salinas City Elementary,Boronda Meadows,11.1,10.7
66142,132407,Salinas City Elementary,Boronda Elementary,8.8,8.0
66142,6026520,Salinas City Elementary,El Gabilan Elementary,13.5,14.1
66142,6026538,Salinas City Elementary,Henry F. Kammann Elementary,10.0,11.0
66142,6026546,Salinas City Elementary,Lincoln Elementary,7.8,6.4
66142,6026553,Salinas City Elementary,Loma Vista Elementary,7.5,7.4
66142,6026561,Salinas City Elementary,Los Padres Elementary,4.5,5.8
66142,6026579,Salinas City Elementary,Mission Park Elementary,11.6,10.3
66142,6026587,Salinas City Elementary,Monterey Park Elementary,14.7,14.5
66142,6026595,Salinas City Elementary,Natividad Elementary,7.8,8.8
66142,6026603,Salinas City Elementary,Roosevelt Elementary,14.4,14.3
66142,6026611,Salinas City Elementary,Sherwood Elementary,7.2,6.3
66142,6066963,Salinas City Elementary,University Park Elementary,15.5,18.1
66142,6109177,Salinas City Elementary,Laurel Wood Elementary,6.3,6.5
66159,0,Salinas Union High,District Office,14.2,14.8
66159,1,Salinas Union High,"Nonpublic, Nonsectarian Schools",*,NA
66159,124610,Salinas Union High,El Puente,68.6,88.5
66159,2730109,Salinas Union High,Alisal High,11.1,9.9
66159,2730166,Salinas Union High,Everett Alvarez High,13.7,13.3
